Item number,SKU Size,Parent Bulk Item Number,Product name,GFS_ReasonName,Item in Catalog,Show pricing to web,Parent Bulk Item Site,GFS Express,Search name,Production type,Brand,CAS #,DEA Controlled,Hazardous,Hazard Class,Product service type,Packing Group,Visible in webshop
85142,1 L,8035,"AMCO CLEAR TURBIDITY STANDARD, 1.8 NTU for HACH RATIO INSTRUMENTS",,Yes,Yes,25,No,"1.8 NTU, Amco Clear Turbidity Standard, For Hach Ratio Instruments",BOM,AMCO,,No,No,,Not specified,,Yes
85143,250 ML,8035,"AMCO CLEAR TURBIDITY STANDARD, 1.8 NTU for HACH RATIO INSTRUMENTS",,Yes,Yes,25,No,"1.8 NTU, Amco Clear Turbidity Standard, For Hach Ratio Instruments",BOM,AMCO,,No,No,,Not specified,,Yes
85144,500 ML,8035,"AMCO CLEAR TURBIDITY STANDARD, 1.8 NTU for HACH RATIO INSTRUMENTS",,Yes,Yes,25,No,"1.8 NTU, Amco Clear Turbidity Standard, For Hach Ratio Instruments",BOM,AMCO,,No,No,,Not specified,,Yes
8515,BULK L,8515,"AMCO CLEAR TURBIDITY STANDARD, 10 NTU for HORIBA W-22",,Yes,No,25,No,"10 NTU, Horiba W-22, Amco Clear Turbidity Standard",Formula,AMCO,,No,No,,Not specified,,Yes
85150,1 L,8037,"AMCO CLEAR TURBIDITY STANDARD, 18 NTU for HACH RATIO INSTRUMENTS",,Yes,Yes,25,No,"18 NTU, Amco Clear Turbidity Standard, For Hach Ratio Instruments",BOM,AMCO,,No,No,,Not specified,,Yes
85151,125 ML,8037,"AMCO CLEAR TURBIDITY STANDARD, 18 NTU for HACH RATIO INSTRUMENTS",,Yes,Yes,25,No,"18 NTU, Amco Clear Turbidity Standard, For Hach Ratio Instruments",BOM,AMCO,,No,No,,Not specified,,Yes
85152,250 ML,8037,"AMCO CLEAR TURBIDITY STANDARD, 18 NTU for HACH RATIO INSTRUMENTS",,Yes,Yes,25,No,"18 NTU, Amco Clear Turbidity Standard, For Hach Ratio Instruments",BOM,AMCO,,No,No,,Not specified,,Yes
85153,500 ML,8037,"AMCO CLEAR TURBIDITY STANDARD, 18 NTU for HACH RATIO INSTRUMENTS",,Yes,Yes,25,No,"18 NTU, Amco Clear Turbidity Standard, For Hach Ratio Instruments",BOM,AMCO,,No,No,,Not specified,,Yes
85159,125 ML,8039,"AMCO CLEAR TURBIDITY STANDARD, 180 NTU for HACH 18900 INSTRUMENT",,Yes,Yes,25,No,"180 NTU, Amco Clear Turbidity Standard, For Hach 18900 Instrument",BOM,AMCO,,No,No,,Not specified,,Yes
8516,BULK L,8516,"AMCO CLEAR TURBIDITY STANDARD, 100 NTU for HORIBA W-22",,Yes,No,25,No,"100 NTU, Horiba W-22, Amco Clear Turbidity Standard",Formula,AMCO,,No,No,,Not specified,,Yes
