productId,description
2168,Ammonium Chloride-Hydroxide for Water Hardness or for Standard EDTA Titrations. Contains no Mg Ions.
2169,AOAC for Iodine Absorption Number of Oils and Fats.
2171,6.0 mol/L.
2172,0.05 mol/L.
2174,Potassium chloride 0.01M.
2177,0.5 mol/L.
2180,"SKU 43535 is a GFS Express item with guaranteed same or next day shipping or the freight is free.  Trace metal grade, analyzed for approximately 35 analytes in the PPB range.Note: Results reported at time of bottling in glass. The levels of Al, B, Ca, K, Mg, Mn, Na, and Si will increase over time."
2188,2 mol/L.
2196,For checking calibration of coulometric KF equipment.
2198,0.2 mol/L.
2206,(Tetrasulfato-Ceric Acid).
2255,0.125 mol/L.
2262,Contact GFS for lower purity grade.
2268,MTBE.
2269,0.083 mol/L KIO3.
2270,0.0167 mol/L.
2280,-325 mesh
2285,"Ammonium Hydroxide-Ammonium Chloride Buffer. Prepared according to REAGENT CHEMICALS, ACS SPECIFICATIONS."
2286,For APHA and ASTM procedures for chlorine.
2288,Sodium Lauryl Sulfate.
2289,N-Methyl Pyrrolidone.
2291,0.1 mol/L.
2294,SKU 46122 is a GFS Express item with guaranteed same or next day shipping or the freight is free.Isopropanol or 2-Propanol.  
2295,Isopentyl Alcohol.
2296,Liver of Sulfur. Lumps and pieces.
2304,For volumetric or coulometric use.  For standardization of Karl Fischer titrants or titrators.
2305,1 + 9 dilution of HCl.
2311,For checking calibration of coulometric KF equipment.  Water in xylene.
2321,Catholyte solution for coulometric analysis. For both general use and aldehydes and ketones.
2323,"1000 ppm nitrogen from ammonium chloride, 1220 ppm ammonia."
2330,0.2 mol/L.
2338,"Catalyst for Kjeldahl Nitrogen Test (Standard Methods method 4500-B, 18th edition)."
2350,Substitute for Freon(r) in the EPA test for oil and grease in stormwater.
2357,TEEN.
2359,DEPP.
2361,PIPPS.
2363,MOPS.
2364,MES.
2377,Not on the TSCA inventory.
2379,Neopentyl bromide.
2381,Made from potassium chloride.
2384,"2,5-Hexanedione."
2385,Suitable for direct determination or with KF oven at 220 C.
2387,Contains:  Bromocresol Green and Methyl Red (green endpoint).
2388,Ethanal.
2391,Benzenemethanol.
2393,2-Methyl-2-propanol.
2394,Trichloromethane.
2395,"2',7'-Dichloro-3,6-fluorandiol."
2396,Furfural; 2-Furaldehyde.
2397,Aminoacetic Acid.
2398,"Gold Chloride; Tetrachloroauric (III) Acid, Trihydrate."
2400,Suitable for use in Wijs Solution.
2404,n-Octyl Alcohol; Suitable for use in determining  TSCA partition coefficients.
2405,Iron and copper free.
2406,"AA, colorimetric or volumetric standard."
2409,"1,2-Benzenedicarboxylic Acid."
2410,Mixture of potassium pyrosulfate and potassium hydrogen sulfate.
2411,Propanoic Acid.
2412,Sodium Methylate.
2413,SKU 88304 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
2414,For iodometry. Potato starch.
2416,4-Methylbenzenesulfonic Acid Monohydrate.
2418,CDTA.
2421,For organic oxidations.
2424,Osmic Acid.  Packaged in ampules.
2426,Pt 46%.
2427,"Pieces (about 1"" cubes), packed under argon."
2429,Tin (II) Chloride.
2433,99% Crystals.
2436,Mixed phosphate buffer. Approximate tetrabutylammonium ion concentration 0.5 M.
2447,Oxidimetric standard. Frequent restandardization recommended.  0.0087 mol/L.
2448,Stabilized.
2449,20 wt % in water.
2452,Tetrafluoroboric Acid.
2454,Typically 60-200 mesh.
2457,N-[p-Methoxyphenyl]-p-phenylenediamine hydrochloride.
